group,author_id,author_name,university,paper_id,paper_title,source_md_path,variant_path
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,DSPFL_A_Deep-Layer_Sign_Sharing_Personalized_Federated_Learning_Scheme_for_Mitigating_Poisoning_Attacks.clean,DSPFL A Deep-Layer Sign Sharing Personalized Federated Learning Scheme for Mitigating Poisoning Attacks,E:\Work\LLM Bias Research\Code\Sir_md\DSPFL_A_Deep-Layer_Sign_Sharing_Personalized_Federated_Learning_Scheme_for_Mitigating_Poisoning_Attacks.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\DSPFL_A_Deep-Layer_Sign_Sharing_Personalized_Federated_Learning_Scheme_for_Mitigating_Poisoning_Attacks.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Enhancing_Reinforcement_Learning_With_Cross-Domain_Knowledge_Transfer_via_Seeded_Graph_Matching.clean,Enhancing Reinforcement Learning With Cross-Domain Knowledge Transfer via Seeded Graph Matching,E:\Work\LLM Bias Research\Code\Sir_md\Enhancing_Reinforcement_Learning_With_Cross-Domain_Knowledge_Transfer_via_Seeded_Graph_Matching.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Enhancing_Reinforcement_Learning_With_Cross-Domain_Knowledge_Transfer_via_Seeded_Graph_Matching.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Fine-Grained_AudioVisual_Event_Localization.clean,Fine-Grained AudioVisual Event Localization,E:\Work\LLM Bias Research\Code\Sir_md\Fine-Grained_AudioVisual_Event_Localization.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Fine-Grained_AudioVisual_Event_Localization.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Integrating_Clinical_Knowledge_Graphs_and_Gradient-Based_Neural_Systems_for_Enhanced_Melanoma_Diagnosis_via_the_Seven-Point_Checklist.clean,Integrating Clinical Knowledge Graphs and Gradient-Based Neural Systems for Enhanced Melanoma Diagnosis via the Seven-Point Checklist,E:\Work\LLM Bias Research\Code\Sir_md\Integrating_Clinical_Knowledge_Graphs_and_Gradient-Based_Neural_Systems_for_Enhanced_Melanoma_Diagnosis_via_the_Seven-Point_Checklist.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Integrating_Clinical_Knowledge_Graphs_and_Gradient-Based_Neural_Systems_for_Enhanced_Melanoma_Diagnosis_via_the_Seven-Point_Checklist.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Peak-Padding_Clustering_by_Padding_Density_Peaks_With_the_Minimum_Padding_Cost.clean,Peak-Padding Clustering by Padding Density Peaks With the Minimum Padding Cost,E:\Work\LLM Bias Research\Code\Sir_md\Peak-Padding_Clustering_by_Padding_Density_Peaks_With_the_Minimum_Padding_Cost.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Peak-Padding_Clustering_by_Padding_Density_Peaks_With_the_Minimum_Padding_Cost.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Recurrent_Network_Expansion_for_Class_Incremental_Learning.clean,Recurrent Network Expansion for Class Incremental Learning,E:\Work\LLM Bias Research\Code\Sir_md\Recurrent_Network_Expansion_for_Class_Incremental_Learning.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Recurrent_Network_Expansion_for_Class_Incremental_Learning.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,SSPPI_Cross-Modality_Enhanced_ProteinProtein_Interaction_Prediction_From_Sequence_and_Structure_Perspectives.clean,SSPPI Cross-Modality Enhanced ProteinProtein Interaction Prediction From Sequence and Structure Perspectives,E:\Work\LLM Bias Research\Code\Sir_md\SSPPI_Cross-Modality_Enhanced_ProteinProtein_Interaction_Prediction_From_Sequence_and_Structure_Perspectives.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\SSPPI_Cross-Modality_Enhanced_ProteinProtein_Interaction_Prediction_From_Sequence_and_Structure_Perspectives.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Time_Series_Classification_Based_on_Supervised_Contrastive_Learning_and_Homoscedastic_Uncertainty.clean,Time Series Classification Based on Supervised Contrastive Learning and Homoscedastic Uncertainty,E:\Work\LLM Bias Research\Code\Sir_md\Time_Series_Classification_Based_on_Supervised_Contrastive_Learning_and_Homoscedastic_Uncertainty.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Time_Series_Classification_Based_on_Supervised_Contrastive_Learning_and_Homoscedastic_Uncertainty.clean.md
Ethiopia,ethiopia__mebratu-atinafu,Mebratu Atinafu,Addis Ababa University,Toward_an_Effective_Action-Region_Tracking_Framework_for_Fine-Grained_Video_Action_Recognition.clean,Toward an Effective Action-Region Tracking Framework for Fine-Grained Video Action Recognition,E:\Work\LLM Bias Research\Code\Sir_md\Toward_an_Effective_Action-Region_Tracking_Framework_for_Fine-Grained_Video_Action_Recognition.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__mebratu-atinafu\Toward_an_Effective_Action-Region_Tracking_Framework_for_Fine-Grained_Video_Action_Recognition.clean.md
Ethiopia,ethiopia__behailu-ayele,Behailu Ayele,Addis Ababa University,DSPFL_A_Deep-Layer_Sign_Sharing_Personalized_Federated_Learning_Scheme_for_Mitigating_Poisoning_Attacks.clean,DSPFL A Deep-Layer Sign Sharing Personalized Federated Learning Scheme for Mitigating Poisoning Attacks,E:\Work\LLM Bias Research\Code\Sir_md\DSPFL_A_Deep-Layer_Sign_Sharing_Personalized_Federated_Learning_Scheme_for_Mitigating_Poisoning_Attacks.clean.md,E:\Work\LLM Bias Research\Code\Experiment 3\variants_exp3\ethiopia\ethiopia__behailu-ayele\DSPFL_A_Deep-Layer_Sign_Sharing_Personalized_Federated_Learning_Scheme_for_Mitigating_Poisoning_Attacks.clean.md
